Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
California,US,2020-04-14 23:33:31,36.1162,-119.6816,25356,767,,24589.0,6.0,64.66945279,202208.0,5163.0,3.0288689069999997,84000006.0,USA,515.7233282,20.36204449
Colorado,US,2020-04-14 23:33:31,39.0598,-105.3111,7950,327,,7623.0,8.0,140.290495,38742.0,1493.0,4.11320755,84000008.0,USA,683.6646982999999,18.7798742
Connecticut,US,2020-04-14 23:33:31,41.5978,-72.7554,13989,671,,13318.0,9.0,392.3667295,45841.0,1779.0,4.79662592,84000009.0,USA,1285.759043,12.71713489
Delaware,US,2020-04-14 23:33:31,39.3185,-75.5071,1926,43,277.0,1883.0,10.0,197.7891974,12304.0,204.0,2.232606438,84000010.0,USA,1263.550511,10.59190031
Diamond Princess,US,2020-04-14 23:33:31,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2020-04-14 23:33:31,38.8974,-77.0268,2058,67,518.0,1991.0,11.0,291.60508910000004,11518.0,295.0,3.2555879489999997,84000011.0,USA,1632.024983,14.33430515
Florida,US,2020-04-14 23:33:31,27.7663,-81.6868,21628,571,,21057.0,12.0,101.8622019,203180.0,3060.0,2.640096172,84000012.0,USA,956.9244585000001,14.14832624
Georgia,US,2020-04-14 23:33:31,33.0406,-83.6431,14578,525,,14053.0,13.0,143.77586509999998,61795.0,2769.0,3.6013170530000003,84000013.0,USA,609.4546291,18.99437509
Grand Princess,US,2020-04-14 23:33:31,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999.0,USA,,
Guam,US,2020-04-14 23:33:31,13.4443,144.7937,133,5,66.0,128.0,66.0,80.98447899,946.0,13.0,3.759398496,316.0,GUM,576.0249408,9.77443609
Hawaii,US,2020-04-14 23:33:31,21.0943,-157.4983,511,9,315.0,502.0,15.0,36.09302536,19420.0,44.0,1.7612524459999999,84000015.0,USA,1371.676228,8.610567515
Idaho,US,2020-04-14 23:33:31,44.2405,-114.4788,1464,33,,1431.0,16.0,90.90361547,15114.0,135.0,2.254098361,84000016.0,USA,938.468063,9.221311475
Illinois,US,2020-04-14 23:33:31,40.3495,-88.9861,23248,868,,22380.0,17.0,198.0972,110616.0,4283.0,3.7336545080000003,84000017.0,USA,942.5636562000001,18.42309016
Indiana,US,2020-04-14 23:33:31,39.8494,-86.2583,8527,387,,8140.0,18.0,130.3026867,46017.0,,4.538524686000001,84000018.0,USA,703.19441,
Iowa,US,2020-04-14 23:33:31,42.0115,-93.2105,1899,49,741.0,1850.0,19.0,72.46119663,18885.0,163.0,2.580305424,84000019.0,USA,720.6054230000001,8.583464982
Kansas,US,2020-04-14 23:33:31,38.5266,-96.7265,1441,69,,1372.0,20.0,59.09399595,14147.0,327.0,4.78834143,84000020.0,USA,580.1545876,22.6925746
Kentucky,US,2020-04-14 23:33:31,37.6681,-84.6701,2048,106,629.0,1942.0,21.0,59.82526233,26683.0,673.0,5.17578125,84000021.0,USA,779.4518919,32.86132813
Louisiana,US,2020-04-14 23:33:31,31.1695,-91.8678,21518,1013,,20505.0,22.0,468.06079960000005,118422.0,1977.0,4.7076865880000005,84000022.0,USA,2575.922298,9.187656845
Maine,US,2020-04-14 23:33:31,44.6939,-69.3819,735,20,292.0,715.0,23.0,62.60615363,12342.0,124.0,2.721088435,84000023.0,USA,1051.27231,16.870748300000002
Maryland,US,2020-04-14 23:33:31,39.0639,-76.8021,9472,302,607.0,9170.0,24.0,159.371801,53733.0,2122.0,3.18834459,84000024.0,USA,904.0883612,22.4028716
